Country (or dependent territory),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Germany,"3,219,943","3,415,020","3,487,234","3,628,559","3,807,115","3,890,125","4,164,749","4,411,728","4,557,186","4,683,286"
Ghana,"100,407","116,773","133,278","140,883","151,592","144,984","142,203","148,983","161,844","175,270"
Greece,"310,867","285,080","275,144","284,949","290,011","289,648","296,437","307,090","319,365","330,829"
Grenada,"1,154","1,187","1,200","1,286","1,420","1,551","1,657","1,798","1,920","1,965"
Guatemala,"95,535","101,567","107,165","112,026","118,754","127,566","130,131","133,883","141,616","149,778"
Guinea,"16,859","18,173","18,497","19,731","20,122","20,799","24,400","29,177","31,743","34,089"
Guinea-Bissau,"2,145","2,367","2,307","2,386","2,510","3,050","3,288","3,832","4,067","4,321"
Guyana,"6,293","6,772","7,916","8,370","8,360","8,594","8,714","9,307","9,943","10,651"
Haiti,"26,419","28,339","28,318","30,706","31,283","31,002","33,431","34,631","36,015","36,002"
Honduras,"31,435","33,314","34,844","36,446","39,876","43,955","47,719","52,444","55,708","58,146"
Hong Kong,"345,574","369,685","373,483","385,448","396,044","411,294","419,838","442,425","465,444","465,342"
Hungary,"220,878","229,643","230,822","242,855","253,485","263,853","274,195","292,303","315,033","335,902"
Iceland,"12,564","13,059","13,472","14,378","15,059","16,281","17,938","19,267","20,672","21,410"
India,"5,230,651","5,618,382","6,153,153","6,477,517","6,781,022","7,159,796","7,735,002","8,276,933","9,012,957","9,519,036"
Indonesia,"2,057,498","2,229,512","2,413,435","2,535,041","2,622,252","2,647,707","2,744,897","2,894,126","3,113,605","3,324,773"
Iran,"1,383,194","1,449,084","1,295,741","1,250,610","1,255,791","1,131,040","1,221,423","1,281,375","1,286,637","1,268,064"
Iraq,"378,324","415,269","483,559","515,106","490,962","369,519","347,143","405,430","434,222","465,209"
Ireland,"199,903","206,640","212,884","221,004","238,658","325,531","339,546","377,360","418,703","448,285"
Israel,"225,127","242,553","256,310","279,899","285,200","299,847","325,452","343,349","365,525","385,728"
Italy,"2,114,286","2,173,172","2,172,384","2,187,375","2,200,257","2,241,524","2,420,428","2,529,502","2,611,400","2,668,065"
Jamaica,"22,276","23,059","23,269","24,136","24,568","25,418","26,720","28,040","29,207","29,985"
Japan,"4,534,737","4,629,402","4,799,612","5,021,591","5,034,456","5,200,906","5,159,726","5,248,419","5,403,192","5,471,792"
Jordan,"68,714","72,051","74,340","79,417","81,884","87,705","90,249","98,365","102,549","106,097"
Kazakhstan,"313,574","344,049","369,966","417,452","427,478","407,416","423,833","448,473","477,553","507,421"
Kenya,"109,608","117,598","125,523","141,004","156,802","176,338","192,816","211,109","228,191","243,887"
Kiribati,169,178,192,211,217,244,263,278,294,309
South Korea,"1,535,815","1,625,275","1,684,563","1,726,903","1,792,600","1,933,849","2,026,536","2,105,893","2,216,764","2,304,553"
Kosovo,"12,842","13,935","14,528","15,242","15,679","16,732","17,789","18,691","19,771","21,059"
Kuwait,"221,295","247,608","276,884","275,264","258,671","181,157","176,815","206,276","216,137","222,801"
